title,condition,price,sold_date,num_bids,buy_it_now,best_offer
Oakley Custom Radarlock Pitch Carbon Fiber Fire Iridium Mens Sports Sunglasses,New (Other),$125.14,"Sold  Dec 3, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame Strike Safety Shooting Glasses Kit w/ Dark and Clear,Pre-Owned,$69.99,"Sold  Dec 3, 2023Sold Item",1 bid,No,Yes
Oakley Sunglasses Holbrook OO9102-M555 Black Red Frames NFL Kansas City Chiefs,New (Other),$119.99,"Sold  Dec 2, 2023Sold Item",,Yes,No
Galaxy Earsock Rubber Kits For Oakley Si Ballistic M Frame 3.0 Z87 Black,New (Other),$5.95,"Sold  Dec 2, 2023Sold Item",,Yes,No
Galaxy Replacement Clip Rubber Kits For Oakley Si M Frame 2.0/ 3.0 Black,New (Other),$7.17,"Sold  Dec 2, 2023Sold Item",,Yes,No
Galaxy Nose Pads Rubber Kits For Oakley M2 Frame XL Sunglasses Black,New (Other),$4.46,"Sold  Dec 2, 2023Sold Item",,Yes,No
Oakley SI Ballistic M Frame 3.0 Array Sunglasses w/Multi-Lens Kit,Pre-Owned,$70.00,"Sold  Dec 2, 2023Sold Item",,Yes,No
Galaxy Nose Pads Rubber Kits For Oakley M2 Frame Sunglasses Blue,New (Other),$4.95,"Sold  Dec 2, 2023Sold Item",,Yes,No
Oakley M2 FRAME XL polished black/grey OO9343-01 sunglasses NEW IN BOX!,Brand New,$84.99,"Sold  Dec 2, 2023Sold Item",,Yes,No
"NEW Oakley M Frame 2.0 SI (Strike) Sunglasses, Ballistic Black / Grey 11-140",New (Other),$70.99,"Sold  Dec 2, 2023Sold Item",,Yes,No
[OO9343-09] Mens Oakley M2 Frame XL Polarized Sunglasses,Brand New,$129.99,"Sold  Dec 2, 2023Sold Item",,Yes,No
"Oakley Pro M Frame Sunglasses Black Frames with 4 Lenses, and Hard Case",Pre-Owned,$99.00,"Sold  Dec 2, 2023Sold Item",9 bids,No,No
Oakley Ballistic M Frame® Alpha Array,Pre-Owned,$199.99,"Sold  Dec 1, 2023Sold Item",,Yes,No
Sweep Oakley M Frames Pro Platinum/Gold Iridium Sunglasses,Pre-Owned,$169.99,"Sold  Dec 1, 2023Sold Item",,Yes,No
